date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume
2012-10-08 00:00:00,Columbus Day,144,45,9,300,5,5,273.08,0.0,0.0,20,Clouds,few clouds,455
2012-11-12 00:00:00,Veterans Day,119,78,1,50,4,4,288.12,0.0,0.0,87,Clear,sky is clear,1000
2012-11-22 00:00:00,Thanksgiving Day,242,78,4,320,2,2,278.54,0.0,0.0,20,Mist,mist,919
2012-12-25 00:00:00,Christmas Day,87,53,2,230,8,8,264.4,0.0,0.0,90,Clouds,overcast clouds,803
2013-01-01 00:00:00,New Years Day,260,72,2,130,4,4,263.49,0.0,0.0,58,Clouds,broken clouds,1439
2013-02-18 00:00:00,Washingtons Birthday,82,72,3,120,8,8,258.96,0.0,0.0,20,Clouds,few clouds,556
2013-05-27 00:00:00,Memorial Day,153,88,3,154,8,8,286.37,0.0,0.0,90,Clouds,overcast clouds,863
2013-07-04 00:00:00,Independence Day,236,94,2,176,9,9,290.08,0.0,0.0,1,Clear,sky is clear,1060
2013-08-22 00:00:00,State Fair,85,68,6,159,1,1,297.42,0.0,0.0,12,Clouds,few clouds,661
2013-09-02 00:00:00,Labor Day,155,45,6,186,3,3,288.78,0.0,0.0,0,Clear,Sky is Clear,1041
2013-10-14 00:00:00,Columbus Day,201,93,1,90,4,4,277.72,0.0,0.0,0,Clear,Sky is Clear,615
2013-11-11 00:00:00,Veterans Day,145,68,0,286,7,7,275.44,0.0,0.0,64,Clouds,broken clouds,514
2013-11-28 00:00:00,Thanksgiving Day,154,63,3,137,2,2,268.24,0.0,0.0,64,Clouds,broken clouds,929
2013-12-25 00:00:00,Christmas Day,14,91,1,270,6,6,260.17,0.25,0.0,64,Rain,light rain,712
2014-01-01 00:00:00,New Years Day,192,91,2,280,2,2,250.14,0.0,0.0,90,Clouds,overcast clouds,1395
2014-01-20 00:00:00,Martin Luther King Jr Day,293,83,2,260,3,3,271.79,0.0,0.0,64,Clouds,broken clouds,480
2014-02-17 00:00:00,Washingtons Birthday,269,53,6,300,1,1,267.44,0.0,0.0,90,Clouds,overcast clouds,583
2014-05-26 00:00:00,Memorial Day,223,56,2,230,8,8,294.31,0.0,0.0,40,Clouds,scattered clouds,967
2015-07-03 00:00:00,Independence Day,286,68,3,123,8,8,289.2,0.0,0.0,1,Clear,sky is clear,959
2015-08-27 00:00:00,State Fair,132,76,1,317,5,5,287.97,0.0,0.0,1,Clear,sky is clear,605
2015-09-07 00:00:00,Labor Day,212,63,6,177,7,7,295.02,0.0,0.0,90,Clouds,overcast clouds,973
2015-10-12 00:00:00,Columbus Day,113,86,3,256,7,7,293.02,0.0,0.0,1,Clear,sky is clear,494
2015-11-11 00:00:00,Veterans Day,131,74,1,170,6,6,283.35,0.0,0.0,75,Clouds,broken clouds,559
2015-11-26 00:00:00,Thanksgiving Day,73,68,3,315,6,6,277.22,0.0,0.0,90,Mist,mist,833
2015-11-26 00:00:00,Thanksgiving Day,229,65,3,313,1,1,277.22,0.0,0.0,90,Haze,haze,833
2015-12-25 00:00:00,Christmas Day,13,94,3,78,5,5,269.09,0.0,0.0,90,Snow,light snow,894
2016-01-01 00:00:00,New Years Day,273,88,4,334,3,3,265.94,0.0,0.0,90,Haze,haze,1513
2016-01-01 00:00:00,New Years Day,145,89,4,336,1,1,265.94,0.0,0.0,90,Snow,light snow,1513
2016-02-15 00:00:00,Washingtons Birthday,109,80,6,311,2,2,265.35,0.0,0.0,90,Mist,mist,785
2016-05-30 00:00:00,Memorial Day,136,66,3,98,2,2,288.38,0.0,0.0,1,Mist,mist,1082
2016-07-04 00:00:00,Independence Day,47,54,1,180,5,5,289.95,0.0,0.0,1,Clear,sky is clear,1115
2016-08-25 00:00:00,State Fair,291,45,2,220,9,9,290.82,0.0,0.0,1,Clear,sky is clear,655
2016-09-05 00:00:00,Labor Day,196,81,1,70,6,6,293.17,1.52,0.0,90,Rain,moderate rain,1064
2016-09-05 00:00:00,Labor Day,241,62,5,103,9,9,293.17,1.52,0.0,90,Thunderstorm,proximity thunderstorm,1064
2016-10-10 00:00:00,Columbus Day,104,41,5,170,9,9,282.341,0.0,0.0,0,Clear,Sky is Clear,484
2016-11-11 00:00:00,Veterans Day,104,88,3,303,2,2,281.96,0.0,0.0,1,Clear,sky is clear,572
2016-11-24 00:00:00,Thanksgiving Day,78,79,6,40,1,1,274.34,0.0,0.0,75,Mist,mist,763
2016-12-26 00:00:00,Christmas Day,188,46,4,330,3,3,276.08,0.0,0.0,90,Rain,light rain,732
2016-12-26 00:00:00,Christmas Day,287,46,7,310,3,3,276.08,0.0,0.0,90,Mist,mist,732
2017-01-02 00:00:00,New Years Day,146,76,7,270,1,1,270.62,0.0,0.0,90,Snow,light snow,798
2017-01-16 00:00:00,Martin Luther King Jr Day,260,60,4,139,1,1,266.08,0.0,0.0,1,Mist,mist,698
2017-01-16 00:00:00,Martin Luther King Jr Day,144,55,4,120,4,4,266.08,0.0,0.0,1,Haze,haze,698
2017-02-20 00:00:00,Washingtons Birthday,67,100,2,70,1,1,285.059,0.0,0.0,68,Clouds,broken clouds,629
